DRG Code,DRG Description,ICD-10 Code,ICD-10 Description,Notes,Remarks,Is Active
ASUR01A,Operations of thyroid and parathyroid glands >=12 Yrs,D34.00,Benign neoplasm of thyroid gland,,,TRUE
ASUR01A,Operations of thyroid and parathyroid glands >=12 Yrs,D35.1,Benign neoplasm: Parathyroid gland,,,TRUE
ASUR01A,Operations of thyroid and parathyroid glands >=12 Yrs,D44.0,Neoplasm of uncertain or unknown behaviour: Thyroid gland,,,TRUE
ASUR01A,Operations of thyroid and parathyroid glands >=12 Yrs,E04.0,Nontoxic diffuse goitre,,,TRUE
ASUR02A,Surgery for lung and bronchus lesions >=12 Yrs,J98.4,Other disorders of lung,,,TRUE
ASUR03A,Thoracostomy and chest tube insertion >=12 Yrs,J90.00,"Pleural effusion, not elsewhere classified",,,TRUE
ASUR03A,Thoracostomy and chest tube insertion >=12 Yrs,J93.9,"Pneumothorax, unspecified",,,TRUE
ASUR03A,Thoracostomy and chest tube insertion >=12 Yrs,J94.2,Haemothorax,,,TRUE
ASUR04A,Operations on the oesophagus and diaphragm >=12 Yrs,C16.0,Malignant neoplasm: Cardia,,,TRUE
ASUR04A,Operations on the oesophagus and diaphragm >=12 Yrs,K22.2,Oesophageal obstruction,,,TRUE
ASUR04A,Operations on the oesophagus and diaphragm >=12 Yrs,K22.3,Perforation of oesophagus,,,TRUE
ASUR04A,Operations on the oesophagus and diaphragm >=12 Yrs,K22.5,"Diverticulum of oesophagus, acquired",,,TRUE
ASUR04A,Operations on the oesophagus and diaphragm >=12 Yrs,K44.9,Diaphragmatic hernia without obstruction or gangrene,,,TRUE
ASUR05A,Excision of Neck Swellings >=12 Yrs,D11.9,"Benign neoplasm: Major salivary gland, unspecified",,,TRUE
ASUR05A,Excision of Neck Swellings >=12 Yrs,D18.1,"Lymphangioma, any site",,,TRUE
ASUR05A,Excision of Neck Swellings >=12 Yrs,Q18.0,"Sinus, fistula and cyst of branchial cleft",,,TRUE
ASUR05A,Excision of Neck Swellings >=12 Yrs,Q89.2,Congenital malformations of other endocrine glands,,,TRUE
ASUR05A,Excision of Neck Swellings >=12 Yrs,R22.1,"Localized swelling, mass and lump, neck",,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,A06.4,Amoebic liver abscess,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,C64.00,"Malignant neoplasm of kidney, except renal pelvis",,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,D13.4,Benign neoplasm: Liver,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,D69.3,Idiopathic thrombocytopenic purpura,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,D73.3,Abscess of spleen,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,D73.4,Cyst of spleen,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,D73.5,Infarction of spleen,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,K75.0,Abscess of liver,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,N13.6,Pyonephrosis,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,Q44.6,Cystic disease of liver,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,S36.0,Injury of spleen,,,TRUE
ASUR06A,Laparotomy for solid organ Surgery >=12 Yrs,S36.1,Injury of liver or gallbladder,,,TRUE
ASUR07A,Laparotomy for Gastric Surgery >=12 Yrs,D37.1,Neoplasm of uncertain or unknown behaviour: Stomach,,,TRUE
ASUR07A,Laparotomy for Gastric Surgery >=12 Yrs,K25.9,"Gastric ulcer: Unspecified as acute or chronic, without haemorrhage or perforation",,,TRUE
ASUR07A,Laparotomy for Gastric Surgery >=12 Yrs,K26.9,"Duodenal ulcer: Unspecified as acute or chronic, without haemorrhage or perforation",,,TRUE
ASUR07A,Laparotomy for Gastric Surgery >=12 Yrs,K31.1,Adult hypertrophic pyloric stenosis,,,TRUE
ASUR07A,Laparotomy for Gastric Surgery >=12 Yrs,K31.7,Polyp of stomach and duodenum,,,TRUE
ASUR07A,Laparotomy for Gastric Surgery >=12 Yrs,K92.2,"Gastrointestinal haemorrhage, unspecified",,,TRUE
ASUR08A,Laparotomy for peritonitis >=12 Yrs,K25.5,Gastric ulcer: Chronic or unspecified with perforation,,,TRUE
ASUR08A,Laparotomy for peritonitis >=12 Yrs,K26.5,Duodenal ulcer: Chronic or unspecified with perforation,,,TRUE
ASUR08A,Laparotomy for peritonitis >=12 Yrs,K36.00,Other appendicitis,,,TRUE
ASUR08A,Laparotomy for peritonitis >=12 Yrs,K37.00,Unspecified appendicitis,,,TRUE
ASUR08A,Laparotomy for peritonitis >=12 Yrs,K63.9,"Disease of intestine, unspecified",,,TRUE
ASUR08A,Laparotomy for peritonitis >=12 Yrs,K65.9,"Peritonitis, unspecified",,,TRUE
ASUR09A,Endoscopic surgery for bleeding oesophageal varices >=12 Yrs,I86.4,Gastric varices,,,TRUE
ASUR10A,Laparotomy and Small Bowel Resection >=12 Yrs,K56.1,Intussusception,,,TRUE
ASUR10A,Laparotomy and Small Bowel Resection >=12 Yrs,K66.0,Peritoneal adhesions,,,TRUE
ASUR10A,Laparotomy and Small Bowel Resection >=12 Yrs,K92.2,"Gastrointestinal haemorrhage, unspecified",,,TRUE
ASUR11A,Laparotomy and colon resection >=12 Yrs,K56.1,Intussusception,,,TRUE
ASUR11A,Laparotomy and colon resection >=12 Yrs,K56.2,Volvulus,,,TRUE
ASUR11A,Laparotomy and colon resection >=12 Yrs,K62.3,Rectal prolapse,,,TRUE
ASUR11A,Laparotomy and colon resection >=12 Yrs,K63.9,"Disease of intestine, unspecified",,,TRUE
ASUR11A,Laparotomy and colon resection >=12 Yrs,K92.2,"Gastrointestinal haemorrhage, unspecified",,,TRUE
ASUR11A,Laparotomy and colon resection >=12 Yrs,S36.5,Injury of colon,,,TRUE
ASUR12A,Laparotomy for Colostomy or Ileostomy >=12 Yrs,K63.9,"Disease of intestine, unspecified",,,TRUE
ASUR13A,Laparotomy and AP Resection >=12 Yrs,D37.5,Neoplasm of uncertain or unknown behaviour: Rectum,,,TRUE
ASUR14A,Percutaneous Ultrasound Guided Drainage of lesions >=12 Yrs,A06.4,Amoebic liver abscess,,,TRUE
ASUR14A,Percutaneous Ultrasound Guided Drainage of lesions >=12 Yrs,A06.5,Amoebic lung abscess,,,TRUE
ASUR15A,Operations on Anus >=12 Yrs,K60.2,"Anal fissure, unspecified",,,TRUE
ASUR15A,Operations on Anus >=12 Yrs,K60.3,Anal fistula,,,TRUE
ASUR15A,Operations on Anus >=12 Yrs,K62.3,Rectal prolapse,,,TRUE
ASUR15A,Operations on Anus >=12 Yrs,L05.91,Pilonidal cyst without abscess,,,TRUE
ASUR16A,Laparotomy and drainage of liver >=12 Yrs,A06.4,Amoebic liver abscess,,,TRUE
ASUR16A,Laparotomy and drainage of liver >=12 Yrs,A06.5,Amoebic lung abscess,,,TRUE
ASUR17A,Laparotomy for biliary surgery >=12 Yrs,K81.0,Acute cholecystitis,,,TRUE
ASUR17A,Laparotomy for biliary surgery >=12 Yrs,K83.1,Obstruction of bile duct,,,TRUE
ASUR17A,Laparotomy for biliary surgery >=12 Yrs,S36.1,Injury of liver or gallbladder,,,TRUE
ASUR18A,Laparotomy and Pancreatic Surgery >=12 Yrs,D37.7,Neoplasm of uncertain or unknown behaviour: Other digestive organs,,,TRUE
ASUR18A,Laparotomy and Pancreatic Surgery >=12 Yrs,K86.2,Cyst of pancreas,,,TRUE
ASUR18A,Laparotomy and Pancreatic Surgery >=12 Yrs,K86.3,Pseudocyst of pancreas,,,TRUE
ASUR19A,Internal Hernia Repair >=12 Yrs,K44.9,Diaphragmatic hernia without obstruction or gangrene,,,TRUE
ASUR19A,Internal Hernia Repair >=12 Yrs,K46.9,Unspecified abdominal hernia without obstruction or gangrene,,,TRUE
ASUR20A,External Hernia Repair >=12 Yrs,K42.9,Umbilical hernia without obstruction or gangrene,,,TRUE
ASUR20A,External Hernia Repair >=12 Yrs,K43.2,Incisional Hernia Without Obstruction Or Gangrene,,,TRUE
ASUR20A,External Hernia Repair >=12 Yrs,K43.6,Spigelian Hernia,,,TRUE
ASUR20A,External Hernia Repair >=12 Yrs,K43.9,Ventral hernia without obstruction or gangrene,,,TRUE
ASUR21A,Operations on the urethra >=12 Yrs,N34.0,Urethral abscess,,,TRUE
ASUR21A,Operations on the urethra >=12 Yrs,N36.0,Urethral fistula,,,TRUE
ASUR21A,Operations on the urethra >=12 Yrs,N36.1,Urethral diverticulum,,,TRUE
ASUR21A,Operations on the urethra >=12 Yrs,N40.00,Hyperplasia of prostate,,,TRUE
ASUR22A,Surgery on scrotum & tunica vaginalis >=12 Yrs,I86.1,Scrotal varices,,,TRUE
ASUR22A,Surgery on scrotum & tunica vaginalis >=12 Yrs,N44.00,Torsion of testis,,,TRUE
ASUR24A,Vascular surgery operations >=12 Yrs,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",,,TRUE
ASUR24A,Vascular surgery operations >=12 Yrs,I72.4,Aneurysm and dissection of artery of lower extremity,,,TRUE
ASUR24A,Vascular surgery operations >=12 Yrs,I73.9,"Peripheral vascular disease, unspecified",,,TRUE
ASUR24A,Vascular surgery operations >=12 Yrs,I74.9,Embolism and thrombosis of unspecified artery,,,TRUE
ASUR28A,Genitourinary surgery >=12 Yrs,B65.9,"Schistosomiasis, unspecified",,,TRUE
ASUR28A,Genitourinary surgery >=12 Yrs,D29.1,Benign neoplasm: Prostate,,,TRUE
ASUR28A,Genitourinary surgery >=12 Yrs,D30.3,Benign neoplasm: Bladder,,,TRUE
ASUR28A,Genitourinary surgery >=12 Yrs,N32.9,"Bladder disorder, unspecified",,,TRUE
ASUR29A,Craniotomy >=12yrs,D43.2,"Neoplasm of uncertain or unknown behaviour: Brain, unspecified",,,TRUE
ASUR29A,Craniotomy >=12yrs,I61.9,"Intracerebral haemorrhage, unspecified",,,TRUE
ASUR30A,General Surgery Excision Biopsy >=12 Yrs,D17.9,"Benign lipomatous neoplasm, unspecified",,,TRUE
ASUR30A,General Surgery Excision Biopsy >=12 Yrs,L72.0,Epidermal cyst,,,TRUE
ASUR30A,General Surgery Excision Biopsy >=12 Yrs,N62.00,Hypertrophy of breast,,,TRUE
ASUR30A,General Surgery Excision Biopsy >=12 Yrs,N63.00,Unspecified lump in breast,,,TRUE
ASUR30A,General Surgery Excision Biopsy >=12 Yrs,Q89.2,Congenital malformations of other endocrine glands,,,TRUE
ASUR30A,General Surgery Excision Biopsy >=12 Yrs,T01.9,"Multiple open wounds, unspecified",,,TRUE
ASUR31A,"Incision, Drainage and Debridement - General Surgery >=12 Yrs",N61.00,Inflammatory disorders of breast,,,TRUE
ASUR32A,Closure of colostomy and ileostomy >=12 Yrs,L43.3,Subacute (active) lichen planus,,,TRUE
ASUR33A,Laparotomy and Porto-caval Shunt >=12 Yrs,K76.6,Portal hypertension,,,TRUE
ASUR34A,Conservative management of surgery,K36.00,Other appendicitis,,,TRUE
ASUR34A,Conservative management of surgery,K81.1,Chronic cholecystitis,,,TRUE
ASUR35A,Surgery for removal of finger/toe>=12 Yrs,D48.7,Neoplasm of uncertain or unknown behaviour: Other specified sites,,,TRUE
ASUR35A,Surgery for removal of finger/toe>=12 Yrs,E14.5,Unspecified diabetes mellitus: With peripheral circulatory complications,,,TRUE
ASUR35A,Surgery for removal of finger/toe>=12 Yrs,N49.3,Gangrene,,,TRUE
ASUR36A,Surgery for removal of hand or foot >=12 Yrs,D48.7,Neoplasm of uncertain or unknown behaviour: Other specified sites,,,TRUE
ASUR36A,Surgery for removal of hand or foot >=12 Yrs,E14.5,Unspecified diabetes mellitus: With peripheral circulatory complications,,,TRUE
ASUR36A,Surgery for removal of hand or foot >=12 Yrs,N49.3,Gangrene,,,TRUE
ASUR37A,"Amputation below or through elbow or knee, through proximal joints or for the
complete removal of limb >=12 Yr",D48.7,Neoplasm of uncertain or unknown behaviour: Other specified sites,,,TRUE
ASUR37A,"Amputation below or through elbow or knee, through proximal joints or for the
complete removal of limb >=12 Yr",E14.5,Unspecified diabetes mellitus: With peripheral circulatory complications,,,TRUE
ASUR37A,"Amputation below or through elbow or knee, through proximal joints or for the
complete removal of limb >=12 Yr",N49.3,Gangrene,,,TRUE
DENT01A,Forceps Extraction of Tooth >=12 Yrs,K00.1,Supernumerary teeth,,,TRUE
DENT01A,Supernumerary Teeth,K00.1,Supernumerary teeth,,,TRUE
DENT01A,Forceps Extraction of Tooth >=12 Yrs,K00.6,Disturbances in tooth eruption,,,TRUE
DENT01A,Supernumerary Teeth,K00.6,Disturbances in tooth eruption,,,TRUE
DENT01A,Forceps Extraction of Tooth >=12 Yrs,K01.0,Embedded teeth,,,TRUE
DENT01A,Supernumerary Teeth,K01.0,Embedded teeth,,,TRUE
DENT01A,Forceps Extraction of Tooth >=12 Yrs,K01.1,Impacted teeth,,,TRUE
DENT01A,Supernumerary Teeth,K01.1,Impacted teeth,,,TRUE
DENT01A,Forceps Extraction of Tooth >=12 Yrs,K04.7,Periapical abscess without sinus,,,TRUE
DENT01A,Supernumerary Teeth,K04.7,Periapical abscess without sinus,,,TRUE
DENT01A,Forceps Extraction of Tooth >=12 Yrs,K07.3,Anomalies of tooth position,,,TRUE
DENT01A,Supernumerary Teeth,K07.3,Anomalies of tooth position,,,TRUE
DENT01C,Forceps Extraction of Tooth <12 Yrs,,,,,TRUE
DENT02A,Surgical Removal of Tooth >=12 Yrs,,,,,TRUE
DENT03A,Temporary Filling >=12 Yrs,,,,,TRUE
DENT03A,Dental Caries,,,,,TRUE
DENT03C,Temporary Filling <12 Yrs,,,,,TRUE
DENT04A,Amalgam Filling >=12 Yrs,,,,,TRUE
DENT04A,Dental Caries,,,,,TRUE
