Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
"Adrenaline Injection 1:10,000 (ADRENAIN2 | Adrenaline Injection 1:10,000)",ADRENAIN2,"Adrenaline Injection 1:10,000",4,Pharmacy,,Injection,"1:10,000",0.0,,0.0,6.55,,01-03-2025,yes,True
Amitriptyline Tablet 10 mg (AMITRITA1 | Amitriptyline Tablet 10 mg),AMITRITA1,Amitriptyline Tablet 10 mg,4,Pharmacy,,Tablet,10 mg,0.0,,0.0,0.66,,01-03-2025,yes,True
Amoxicillin 250 mg Dispersible Tablet (AMOXICDT1 | Amoxicillin 250 mg Dispersible Tablet),AMOXICDT1,Amoxicillin 250 mg Dispersible Tablet,4,Pharmacy,,Tablet,250 mg,0.0,,0.0,1.87,,01-03-2025,yes,True
Atenolol + Hydrochlorthiazide Tablet 100 mg + 25 mg (ATEHYDTA2 | Atenolol + Hydrochlorthiazide Tablet 100 mg + 25 mg),ATEHYDTA2,Atenolol + Hydrochlorthiazide Tablet 100 mg + 25 mg,4,Pharmacy,,Tablet,100 mg + 25 mg,0.0,,0.0,1.2,,01-03-2025,yes,True
Atenolol Injection 500 microgram/10 mL (ATENOLIN1 | Atenolol Injection 500 microgram/10 mL),ATENOLIN1,Atenolol Injection 500 microgram/10 mL,4,Pharmacy,,Injection,500 microgram/10 mL,0.0,,0.0,8.98,,01-03-2025,yes,True
Atenolol Tablet 25 mg (ATENOLTA1 | Atenolol Tablet 25 mg),ATENOLTA1,Atenolol Tablet 25 mg,4,Pharmacy,,Tablet,25 mg,0.0,,0.0,1.1,,01-03-2025,yes,True
Atenolol Tablet 100 mg (ATENOLTA3 | Atenolol Tablet 100 mg),ATENOLTA3,Atenolol Tablet 100 mg,4,Pharmacy,,Tablet,100 mg,0.0,,0.0,1.1,,01-03-2025,yes,True
Atorvastatin Tablet 10 mg (ATORVATA1 | Atorvastatin Tablet 10 mg),ATORVATA1,Atorvastatin Tablet 10 mg,4,Pharmacy,,Tablet,10 mg,0.0,,0.0,0.23,,01-03-2025,yes,True
Atorvastatin Tablet 20 mg (ATORVATA2 | Atorvastatin Tablet 20 mg),ATORVATA2,Atorvastatin Tablet 20 mg,4,Pharmacy,,Tablet,20 mg,0.0,,0.0,0.3,,01-03-2025,yes,True
Azithromycin Oral Suspension 200 mg/5 mL/30mL (AZITHRSU2 | Azithromycin Oral Suspension 200 mg/5 mL/30mL),AZITHRSU2,Azithromycin Oral Suspension 200 mg/5 mL/30mL,4,Pharmacy,,Suspension,200 mg/5 mL,0.0,,0.0,40.13,,01-03-2025,yes,True
Benzylpenicillin Injection 5 MU (BENZYLIN2 | Benzylpenicillin Injection 5 MU),BENZYLIN2,Benzylpenicillin Injection 5 MU,4,Pharmacy,,Injection,5 MU,0.0,,0.0,11.0,,01-03-2025,yes,True
