Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
"	Tranexamic Acid Injection 500mg (TRAACIIN1 | 	Tranexamic Acid Injection 500mg)",TRAACIIN1,"	Tranexamic Acid Injection 500mg",4,Pharmacy,533,Injection,500 mg/5mL,27,,0,,,,no,TRUE
,,,,,,,,0,,0,,,,no,TRUE
,,,11,Non-Consumables,1073,,,0,,0,,,,no,TRUE
 (1100 | ),1100,,9,Non-Drug Consumables,1100,,,4,,0,,,,no,TRUE
 (M000626 | ),M000626,,4,Pharmacy,1153,0,,0,,0,,,,no,TRUE
1 GANG 1 WAY SWITCH (NA | 1 GANG 1 WAY SWITCH) (965 | 1 GANG 1 WAY SWITCH (NA | 1 GANG 1 WAY SWITCH)),965,1 GANG 1 WAY SWITCH (NA | 1 GANG 1 WAY SWITCH),11,Non-Consumables,965,,,0,,0,,,,no,TRUE
1 GANG 2 WAY SWITCH (NA | 1 GANG 2 WAY SWITCH) (966 | 1 GANG 2 WAY SWITCH (NA | 1 GANG 2 WAY SWITCH)),966,1 GANG 2 WAY SWITCH (NA | 1 GANG 2 WAY SWITCH),11,Non-Consumables,966,,,0,,0,,,,no,TRUE
1 GANG 3 WAY SWITCH (NA | 1 GANG 3 WAY SWITCH) (967 | 1 GANG 3 WAY SWITCH (NA | 1 GANG 3 WAY SWITCH)),967,1 GANG 3 WAY SWITCH (NA | 1 GANG 3 WAY SWITCH),11,Non-Consumables,967,,,0,,0,,,,no,TRUE
11/4 screw (NA | NA) (1128 | 11/4 screw (NA | NA)),1128,11/4 screw (NA | NA),11,Non-Consumables,1128,,,0,,0,,,,no,TRUE
13A SOCKET DOUBLE (NA | 13A SOCKET DOUBLE) (968 | 13A SOCKET DOUBLE (NA | 13A SOCKET DOUBLE)),968,13A SOCKET DOUBLE (NA | 13A SOCKET DOUBLE),11,Non-Consumables,968,,,0,,0,,,,no,TRUE
13A SOCKET SINGLE (NA | 13A SOCKET SINGLE) (969 | 13A SOCKET SINGLE (NA | 13A SOCKET SINGLE)),969,13A SOCKET SINGLE (NA | 13A SOCKET SINGLE),11,Non-Consumables,969,,,0,,0,,,,no,TRUE
13AMP PLUG TOP (NA | 13AMP PLUG TOP) (970 | 13AMP PLUG TOP (NA | 13AMP PLUG TOP)),970,13AMP PLUG TOP (NA | 13AMP PLUG TOP),11,Non-Consumables,970,,,0,,0,,,,no,TRUE
15AMP PLUG TOP (NA | 15AMP PLUG TOP) (971 | 15AMP PLUG TOP (NA | 15AMP PLUG TOP)),971,15AMP PLUG TOP (NA | 15AMP PLUG TOP),11,Non-Consumables,971,,,0,,0,,,,no,TRUE
3 core flexible cable (NA | NA) (1126 | 3 core flexible cable (NA | NA)),1126,3 core flexible cable (NA | NA),11,Non-Consumables,1126,,,0,,0,,,,no,TRUE
3/4 SCREW (NA | NA) (1129 | 3/4 SCREW (NA | NA)),1129,3/4 SCREW (NA | NA),11,Non-Consumables,1129,,,0,,0,,,,no,TRUE
5-Fluorouracil  (5FLUORIN1 | 5-Fluorouracil ),5FLUORIN1,5-Fluorouracil  (5FLUORIN1 | 5-Fluorouracil ),4,Pharmacy,547,Injection,50 mg/mL,0,,0,20.4,,1/2/2023,yes,TRUE
6 MM CABLE (NA | NA) (1131 | 6 MM CABLE (NA | NA)),1131,6 MM CABLE (NA | NA),11,Non-Consumables,1131,,,0,,0,,,,no,TRUE
A4 SHEETS (NA | A4 SHEETS) (858 | A4 SHEETS (NA | A4 SHEETS)),858,A4 SHEETS (NA | A4 SHEETS),10,Stationery,858,,,0,,0,,,,no,TRUE
ABDOMINAL SPONGE (NA | ABDOMINAL SPONGE) (609 | ABDOMINAL SPONGE (NA | ABDOMINAL SPONGE)),609,ABDOMINAL SPONGE (NA | ABDOMINAL SPONGE),5,Consumables,609,,,1.5,,0,,,,no,TRUE
AC SWITCH (NA | AC SWITCH) (972 | AC SWITCH (NA | AC SWITCH)),972,AC SWITCH (NA | AC SWITCH),11,Non-Consumables,972,,,0,,0,,,,no,TRUE
Aceclofenac Tablet 100mg (M000550 | Aceclofenac Tablet 100mg),M000550,Aceclofenac Tablet 100mg,4,Pharmacy,548,Tablet,100mg,1,,0,,,,no,TRUE
Acetazolamide Injection 500mg (ACETAZIN1 | Acetazolamide Injection 500mg),ACETAZIN1,Acetazolamide Injection 500mg,4,Pharmacy,2,Injection,500 mg,0,,0,17.16,,1/3/2025,yes,TRUE
Acetazolamide Tablet 250mg (ACETAZTA1 | Acetazolamide Tablet 250mg),ACETAZTA1,Acetazolamide Tablet 250mg,4,Pharmacy,3,Tablet,250 mg,0.9,,0,0.88,,1/3/2025,yes,TRUE
ACETIC ACID (NA | NA) (1110 | ACETIC ACID (NA | NA)),1110,ACETIC ACID (NA | NA),7,Laboratory Consumables,1110,,,0,,0,,,,no,TRUE
ACETORTE PAPER (NA | ACETORTE PAPER) (973 | ACETORTE PAPER (NA | ACETORTE PAPER)),973,ACETORTE PAPER (NA | ACETORTE PAPER),11,Non-Consumables,973,,,0,,0,,,,no,TRUE
Acetylcysteine  (ACETYLIN1 | Acetylcysteine ),ACETYLIN1,Acetylcysteine  (ACETYLIN1 | Acetylcysteine ),4,Pharmacy,4,Injection,200 mg/mL,0,,0,62.98,,1/3/2025,yes,TRUE
Acetylsalicylic Acid  (ACETYLTA1 | Acetylsalicylic Acid ),ACETYLTA1,Acetylsalicylic Acid  (ACETYLTA1 | Acetylsalicylic Acid ),4,Pharmacy,5,Tablet,300 mg,0,,0,0.55,,1/3/2025,yes,TRUE
Acetylsalicylic Acid Tablet 75mg (ACETYLDT1 | Acetylsalicylic Acid Tablet 75mg),ACETYLDT1,Acetylsalicylic Acid Tablet 75mg,4,Pharmacy,6,Tablet,75 mg Disp.,0.4,,0,0.33,,1/3/2025,yes,TRUE
Actinomycin D  (ACTINOIN1 | Actinomycin D ),ACTINOIN1,Actinomycin D  (ACTINOIN1 | Actinomycin D ),4,Pharmacy,8,Injection,0.5 mg,0,,0,106.92,,1/2/2023,yes,TRUE
